Case_ID,Region,County,Jurisdiction,Age_at_Case_Filing,Case_Category,Case_Filing_Date,Case_Disposition_Date,Charge_ID_Number,Charge Type,UOR_Code,Offense_Description,ASCF_Code,ASCF,AOC_Offense_Category_Code,AOC_Offense_Category,Charge_Level,Charge_Class,Charge_Filing_Date,Original_Plea,Final_Plea,Charge_Disposition_Date,Charge_Disposition,Charge_Disposition_Category,Trial_Type,Sentence_Date,SEN_FINE_SENT_AMT,SEN_FINE_PROB_AMT,SEN_FINE_SUSP_AMT,SEN_FINE_COND_AMT,SEN_COST_SENT_AMT,SEN_COST_PROB_AMT,SEN_COST_SUSP_AMT,SEN_COST_COND_AMT,SEN_CONCURRENT,SEN_CONSECUTIVE,SEN_JAIL,SEN_PRISON,SEN_JORP_SENT_YEARS,SEN_JORP_SENT_MONTHS,SEN_JORP_SENT_DAYS,SEN_JORP_SENT_HOURS,SEN_JORP_SUSP_YEARS,SEN_JORP_SUSP_MONTHS,SEN_JORP_SUSP_DAYS,SEN_JORP_SUSP_HOURS,SEN_JORP_COND_YEARS,SEN_JORP_COND_MONTHS,SEN_JORP_COND_DAYS,SEN_JORP_COND_HOURS,SEN_HOME_SENT_YEARS,SEN_HOME_SENT_MONTHS,SEN_HOME_SENT_DAYS,SEN_HOME_SENT_HOURS,SEN_HOME_SUSP_YEARS,SEN_HOME_SUSP_MONTHS,SEN_HOME_SUSP_DAYS,SEN_HOME_SUSP_HOURS,SEN_HOME_COND_YEARS,SEN_HOME_COND_MONTHS,SEN_HOME_COND_DAYS,SEN_HOME_COND_HOURS,SEN_PROB_SUPV_YEARS,SEN_PROB_SUPV_MONTHS,SEN_PROB_SUPV_DAYS,SEN_PROB_SUPV_HOURS,SEN_PROB_UNSP_YEARS,SEN_PROB_UNSP_MONTHS,SEN_PROB_UNSP_DAYS,SEN_PROB_UNSP_HOURS,SEN_LOCAL_PROBATION,SEN_STATE_PROBATION,SEN_COMM_SRVC_YEARS,SEN_COMM_SRVC_MONTHS,SEN_COMM_SRVC_DAYS,SEN_COMM_SRVC_HOURS,SEN_CRDT_TIME_YEARS,SEN_CRDT_TIME_MONTHS,SEN_CRDT_TIME_DAYS,SEN_CRDT_TIME_HOURS,SEN_LIFE_SENTENCE,SEN_DEATH_SENTENCE,SEN_A_D_E,SEN_UNDERGO_TREATMNT,SEN_MAKE_RESTITUTION,Judge_at_Sentence,Defendant_ID,Identification,Race,Ethnicity,Gender
360,Rural: Appalachian,ADAIR,Circuit Court,50,Circuit Criminal,3/12/2019,8/27/2019,1,Original Charge,239310,"*OBS* TBUT OR DISP SHOPLIFTING $500 OR MORE BUT U/$10,000",0,Base,THF,Theft,Felony,D ,3/12/2019,Not Guilty,Guilty,8/27/2019,GUILTY,Convicted,NO TRIAL,8/27/2019,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629324,350,Criminal History Key,NULL,NULL,Female
361,Rural: Appalachian,ADAIR,Circuit Court,43,Circuit Criminal,3/12/2019,8/27/2019,1,Original Charge,239310,"*OBS* TBUT OR DISP SHOPLIFTING $500 OR MORE BUT U/$10,000",0,Base,THF,Theft,Felony,D ,3/12/2019,Not Guilty,Guilty,8/27/2019,GUILTY,Convicted,NO TRIAL,8/27/2019,NULL,NULL,NULL,NULL,165,NULL,NULL,NULL,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629324,351,Criminal History Key,White,Non-Hispanic,Male
362,Rural: Appalachian,ADAIR,Circuit Court,48,Circuit Criminal,3/12/2019,4/27/2021,1,Original Charge,239310,"*OBS* TBUT OR DISP SHOPLIFTING $500 OR MORE BUT U/$10,000",0,Base,THF,Theft,Felony,D ,3/12/2019,Not Guilty,Guilty,4/27/2021,GUILTY,Convicted,NO TRIAL,4/27/2021,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,629324,352,Criminal History Key,NULL,NULL,Male
362,Rural: Appalachian,ADAIR,Circuit Court,48,Circuit Criminal,3/12/2019,4/27/2021,2,Original Charge,234300,THEFT OF RETAIL MERCHANDISE FOR RESALE,0,Base,THF,Theft,Felony,C ,3/12/2019,Not Guilty,Guilty,4/26/2021,GUILTY,Convicted,NO TRIAL,4/27/2021,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,629324,352,Criminal History Key,NULL,NULL,Male
363,Rural: Appalachian,ADAIR,Circuit Court,25,Circuit Criminal,3/12/2019,5/14/2019,1,Original Charge,239310,"*OBS* TBUT OR DISP SHOPLIFTING $500 OR MORE BUT U/$10,000",0,Base,THF,Theft,Felony,D ,3/12/2019,Not Guilty,Guilty,5/14/2019,GUILTY,Convicted,NO TRIAL,5/14/2019,NULL,NULL,NULL,NULL,165,NULL,NULL,NULL,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629324,353,Criminal History Key,NULL,NULL,NULL
363,Rural: Appalachian,ADAIR,Circuit Court,25,Circuit Criminal,3/12/2019,5/14/2019,2,Original Charge,234300,THEFT OF RETAIL MERCHANDISE FOR RESALE,0,Base,THF,Theft,Felony,C ,3/12/2019,Not Guilty,Guilty,5/14/2019,GUILTY,Convicted,NO TRIAL,5/14/2019,0,0,0,0,0,0,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629324,353,Criminal History Key,NULL,NULL,NULL
354,Metropolitan Region: Other,ALLEN,Circuit Court,37,Circuit Criminal,3/1/2019,11/15/2019,1,Original Charge,702400,ENGAGING IN ORGANIZED CRIME-CRIMINAL SYNDICATE,0,Base,ICS,Organized Crime/Inchoate,Felony,B ,2/27/2019,Unknown,Unknown,11/7/2019,GUILTY,Convicted,NO TRIAL,11/7/2019,2000,NULL,2000,NULL,NULL,NULL,NULL,NULL,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649250,344,Criminal History Key,White,NULL,Male
388,Metropolitan Region: Other,ALLEN,Circuit Court,30,Circuit Criminal,4/30/2019,11/15/2019,1A    ,Amended,702403,CONS ENGAGING IN ORGANIZED CRIME-CRIMINAL SYNDICATE,3,Conspiracy,ICS,Organized Crime/Inchoate,Felony,C ,11/7/2019,Unknown,Unknown,11/7/2019,GUILTY,Convicted,NO TRIAL,11/7/2019,1000,NULL,1000,NULL,NULL,NULL,NULL,NULL,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649250,378,Criminal History Key,White,NULL,Male
520,Metropolitan Region: Other,ALLEN,Circuit Court,39,Circuit Criminal,11/25/2019,9/12/2022,1A    ,Amended,702404,FACL ENGAGING IN ORGANIZED CRIME-CRIMINAL SYNDICATE,4,Facilitation,ICS,Organized Crime/Inchoate,Felony,D ,7/12/2022,Unknown,Unknown,7/12/2022,GUILTY,Convicted,NO TRIAL,9/6/2022,1000,1000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,649413,508,Criminal History Key,White,NULL,Male
880,Metropolitan Region: Other,ALLEN,Circuit Court,37,Circuit Criminal,1/18/2022,6/7/2023,1,Original Charge,420910,"TRAFF CONT SUB WITHIN 1,000 FEET OF SCHOOL",0,Base,DGT,Drug Trafficking,Felony,D ,1/18/2022,Unknown,Unknown,3/21/2023,GUILTY,Convicted,NO TRIAL,6/6/2023,1000,1000,NULL,NULL,175,NULL,NULL,NULL,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,649413,858,Criminal History Key,White,NULL,Male
