Geographic Area,"April 1, 2020 Estimates Base",2020,2021,2022,2023,2024,2025
Kentucky,"4,506,287","4,508,271","4,508,348","4,521,238","4,549,953","4,584,046","4,606,864"
".Adair County, Kentucky","18,901","18,885","18,927","19,082","19,281","19,235","19,423"
".Allen County, Kentucky","20,579","20,573","20,833","21,249","21,821","22,095","22,536"
".Anderson County, Kentucky","23,880","23,902","24,106","24,298","24,636","24,958","25,225"
".Ballard County, Kentucky","7,730","7,712","7,687","7,629","7,605","7,608","7,594"
".Barren County, Kentucky","44,483","44,508","44,604","44,854","45,067","45,412","45,641"
".Bath County, Kentucky","12,745","12,715","12,799","12,818","12,984","12,970","13,176"
".Bell County, Kentucky","24,096","23,981","23,799","23,527","23,260","23,005","22,829"
".Boone County, Kentucky","135,988","136,472","137,720","139,429","141,388","143,490","145,316"
".Bourbon County, Kentucky","20,254","20,299","20,248","20,153","20,223","20,337","20,243"
".Boyd County, Kentucky","48,260","48,209","47,756","48,062","47,880","47,948","47,751"
".Boyle County, Kentucky","30,614","30,754","30,598","30,845","31,062","31,297","31,632"
".Bracken County, Kentucky","8,400","8,399","8,441","8,425","8,416","8,462","8,511"
".Breathitt County, Kentucky","13,721","13,701","13,555","13,338","12,931","12,751","12,558"
".Breckinridge County, Kentucky","20,432","20,443","20,673","20,932","21,120","21,264","21,503"
".Bullitt County, Kentucky","82,224","82,365","83,096","83,946","84,996","85,765","86,454"
".Butler County, Kentucky","12,373","12,321","12,304","12,383","12,427","12,480","12,520"
".Caldwell County, Kentucky","12,653","12,642","12,698","12,618","12,590","12,588","12,609"
".Calloway County, Kentucky","37,543","37,595","37,891","38,119","38,523","38,902","39,421"
".Campbell County, Kentucky","93,081","93,141","92,848","93,323","93,864","94,054","95,441"
".Carlisle County, Kentucky","4,820","4,807","4,763","4,723","4,744","4,764","4,747"
".Carroll County, Kentucky","10,804","10,831","10,896","10,937","10,984","11,111","11,141"
".Carter County, Kentucky","26,631","26,614","26,448","26,307","26,300","26,195","26,149"
".Casey County, Kentucky","15,944","15,926","15,927","15,900","15,928","16,053","16,205"
".Christian County, Kentucky","72,799","72,752","73,172","72,242","71,269","71,436","70,115"
